timestamp,original_timestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,11905.838383960649,7.840857,-0.64690936,4.570206,-4.298997,2.9891925,-2.8232918,4.5143332,-2.8414438,-6.7518725,-2.3727002,4.052274,4.1706433,9.021941,-13.0812235,2.2573724,-3.0114176
0.00798639564527548,11905.846370356294,5.2542467,-0.9684645,1.4698069,-2.9437156,6.4992657,0.35189927,11.3036995,3.7424598,7.667187,13.532654,0.03270502,-4.9519925,5.7221236,-3.4125326,5.2686863,0.45276704
0.01597279128873197,11905.854356751937,-5.275446,-4.9388695,-0.33479583,-0.92663014,1.46753,-3.6670356,0.76890355,-2.216493,3.5056498,-1.2743148,-1.3814869,-7.7518854,-0.03949048,9.082016,1.2226373,-3.1236444
0.023959186934007448,11905.862343147583,-16.728956,-19.253866,-3.4849203,-2.0622132,-6.0073647,-7.2083874,-13.392612,-11.494629,5.130457,-0.9493942,-4.3123684,-3.8881397,-0.02075951,2.6016166,1.5878017,0.8323755
0.03194558257928293,11905.870329543228,-18.39038,-20.747631,0.048364904,-5.71374,-2.7572472,-5.7874994,-1.641472,-6.3335896,-5.95755,-12.16658,-8.443931,-12.026194,-4.2482023,-9.554137,-0.5279578,-3.1143258
0.03993197822273942,11905.878315938871,-7.683201,-1.9710928,0.6218124,-4.5136347,1.0706441,-2.0973957,2.9219558,4.9579277,-7.400588,-9.574125,-6.089061,-11.49631,-2.9384792,-5.611404,-0.8347279,-5.7964516
0.047918373868014896,11905.886302334517,-2.6527908,-2.9830987,-6.78361,1.1893455,-3.8226743,-3.9065185,-5.0175896,-1.914769,-1.9859251,-0.6940822,-3.595529,-6.4477553,2.3125296,-2.4533253,-1.8861115,-2.9465997
0.055904769513290375,11905.894288730162,4.1121826,7.91333,-2.177239,0.31679448,-2.9713166,-6.9620433,-7.6001654,-14.307394,0.7422307,4.063132,-0.43767726,0.6695605,-0.95286936,-4.9540434,-0.6410829,-1.8142251
0.06389116515856585,11905.902275125807,14.7466,20.958637,2.5028095,-2.1108458,-0.8166019,-4.955645,-4.1796556,-4.8540015,5.9686103,11.878404,4.1515718,4.316089,-0.41602445,-5.4062233,1.2106905,-2.0457492
0.07187756080202234,11905.91026152145,17.282309,9.279,0.27144554,1.0899087,-2.9211373,-2.9413176,-6.7374773,-1.267808,3.3414671,1.8949642,7.566036,0.22032471,0.10551139,-3.905536,-4.8312244,-4.774545
0.07986395644729782,11905.918247917096,11.781729,4.4151087,-2.5915859,3.5221844,-4.69397,-1.5834903,-4.2006,3.3820367,-3.7405732,-0.5365994,3.7494657,6.9216967,-2.2712262,1.9305447,-4.7443523,-1.0672061
