%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
52.0, -20614.768041940697, 4483.916399945784, 197.90234540728872, -17994.13776327822, -8003.131509200515, -16303.98825454572, -9992.056786067104, -12556.025392535377, -10608.026159766456, 4360.534770552489, -28813.834943036432, 7512.242497473061, 4372.761174769542, 9243.385105536594, -3514.8118155970355, 8335.323135295288, 0.096375, -0.11125, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601636858592E9, 0.0, 2026-05-22 16:29:23.685
54.0, -20764.077694902146, 4367.597921800366, 201.5903832424144, -18178.137323634306, -8117.438330344955, -16483.204541588373, -9968.92273055586, -12632.669524272624, -10566.966005202057, 4323.609688712321, -28918.82108674301, 7500.86545954531, 4322.089770089361, 9226.666000684023, -3584.728072253236, 8242.876320228139, 0.096375, -0.11125, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163694863E9, 0.0, 2026-05-22 16:29:23.694
56.0, -20611.83996341705, 4488.811431981496, 186.9946941130989, -17993.17663826664, -8012.541593616199, -16302.401280689393, -10013.64857121093, -12558.215863491996, -10575.839647750814, 4328.124741092293, -28921.145668166362, 7471.7187847755895, 4291.266714485492, 9212.025608065798, -3596.350979369996, 8234.852043968684, 0.094, -0.112, 1.01, 192.0, 1.0, 120.0, 126.0, 64.0, 15.5, 72.0, 0.0, 0.0, 0.0, 1.7794601637018707E9, 0.0, 2026-05-22 16:29:23.701
58.0, -20681.309185184145, 4433.312050498968, 210.50872928008192, -18095.68173833868, -8059.077925572148, -16392.143534677452, -9974.175390502858, -12594.380986020684, -10581.874618753745, 4367.240293889081, -28817.254759938096, 7536.382381484793, 4347.928386679696, 9260.573597022725, -3517.8516528429573, 8333.266774805401, 0.094, -0.112, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.77946016370986E9, 0.0, 2026-05-22 16:29:23.709
60.0, -20717.675473412928, 4421.465625937656, 195.66717096175802, -18106.812907077423, -8088.537524764243, -16419.56912512411, -9996.460079724799, -12615.078701386297, -10561.914510955157, 4301.369702979291, -28998.058020837074, 7466.533180061959, 4256.241530924026, 9219.312276758228, -3645.189541004842, 8175.3964037175665, 0.094, -0.112, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163717858E9, 0.0, 2026-05-22 16:29:23.717
62.0, -20602.765155168196, 4493.79587099503, 195.77892968403455, -17996.015309812465, -8007.177174946925, -16301.440155677816, -9993.755518645707, -12552.940851800544, -10592.603456092294, 4377.432689360701, -28804.55896908748, 7523.396017956259, 4363.462849076134, 9243.295698558772, -3515.0800365304995, 8337.60301322973, 0.094, -0.112, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601637258532E9, 0.0, 2026-05-22 16:29:23.725
64.0, -20764.25650885779, 4372.1353259247935, 196.538888995515, -18177.22090211164, -8109.4140540855005, -16471.514579238246, -9965.838189821028, -12620.040788655377, -10552.37031607274, 4330.583432982377, -28914.037813429575, 7504.419386913703, 4298.709845389109, 9233.863262398632, -3581.464717562761, 8259.953052991994, 0.094, -0.112, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601637332835E9, 0.0, 2026-05-22 16:29:23.733
66.0, -20622.457042033322, 4491.717158760686, 182.18906905520788, -17984.03477478442, -8014.687361083908, -16291.98536777322, -10005.22196355128, -12547.799950575823, -10590.323578157851, 4336.372534796302, -28939.228229430704, 7465.639110283746, 4289.523278417978, 9226.755407661845, -3607.348037642007, 8239.925889960037, 0.094, -0.11800000000000001, 1.006, 192.0, 1.0, 120.0, 126.0, 40.0, 15.5, 56.0, 0.0, 0.0, 0.0, 1.779460163742273E9, 0.0, 2026-05-22 16:29:23.742
68.0, -20698.05064178117, 4415.1624340012595, 191.28622904851784, -18095.68173833868, -8064.151771563504, -16397.329139391084, -9981.372652217467, -12596.459698255027, -10583.036909465422, 4382.238314418592, -28812.627948835845, 7539.198701286162, 4366.234465388592, 9240.434675268492, -3515.3929609528736, 8347.907167423626, 0.094, -0.11800000000000001, 1.006, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601637502742E9, 0.0, 2026-05-22 16:29:23.750
70.0, -20752.186566851924, 4380.964264984639, 152.5283041630154, -18124.068453796917, -8097.433519057456, -16430.29796246266, -10008.395911263933, -12624.332323590796, -10579.460630352572, 4273.675891599166, -29021.50500077069, 7433.5643569903805, 4240.952937716596, 9178.118011727096, -3662.2886255131516, 8166.276891979801, 0.094, -0.11800000000000001, 1.006, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601637572749E9, 0.0, 2026-05-22 16:29:23.757
