208,-19959.4596,5395.621705,-168.152174,-19678.8558,-6526.485864,-16541.45319,-8461.521084,-11304.73003,-8967.631634,3546.238368,-26870.55193,9392.270075,5143.806951,10160.81246,-16179.55609,-117.793693,0,0,0,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.057
0,-9507.023931,2730.153826,-602.044237,-10183.23126,-3092.766177,-8598.403168,-4961.640234,-6235.577909,-4468.873676,1795.694446,-13367.90781,4731.841949,2620.965555,5066.805192,-8030.065361,-9.767712,0.088,-0.118,1.004,192,1,96,126,40,15.5,48,0,0,0,1779460696,0,2026-05-22 16:38:16.158
2,-19056.33736,5409.703304,-1201.450968,-20455.71303,-6216.24365,-17280.02188,-9970.375594,-12531.55023,-7485.979198,3433.63028,-26479.28464,9769.723984,5503.938258,10322.01324,-18643.05361,-4688.79249,0.088,-0.118,1.004,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.164
4,-19084.88054,5414.106597,-1223.601547,-20437.27284,-6233.365087,-17271.84114,-9967.447515,-12529.11389,-7530.570928,3372.207686,-26574.50307,9733.737675,5430.244557,10320.29215,-18738.45085,-4782.84863,0.088,-0.118,1.004,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.171
6,-19041.60756,5428.255251,-1209.899927,-20396.61502,-6206.006552,-17232.43502,-9950.5943,-12505.4434,-7489.175497,3424.220195,-26455.54709,9759.285719,5497.009217,10336.74304,-18634.15761,-4681.908152,0.091,-0.115,1.006,192,1,120,126,64,15.5,64,0,0,0,1779460696,0,2026-05-22 16:38:16.180
8,-19111.72499,5372.934684,-1215.197291,-20491.8558,-6249.391287,-17331.78852,-9998.561144,-12580.36644,-7525.251213,3384.389387,-26537.0192,9748.445123,5444.974356,10317.78876,-18709.6171,-4755.333633,0.091,-0.115,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.189
10,-19038.34421,5439.341717,-1226.216701,-20382.57812,-6208.264078,-17225.57303,-9942.480617,-12501.26362,-7532.068495,3394.335913,-26515.62858,9737.269251,5459.547694,10307.68577,-18691.98158,-4742.99547,0.091,-0.115,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.196
12,-19058.39372,5400.717902,-1215.30905,-20455.26599,-6230.414656,-17302.6642,-9987.541734,-12568.9894,-7487.54382,3422.633221,-26478.21176,9760.179789,5496.137499,10319.50984,-18652.06136,-4703.343475,0.091,-0.115,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.202
14,-19067.08855,5427.227071,-1230.977622,-20441.16204,-6240.271776,-17278.68078,-9981.73028,-12541.60852,-7533.811931,3370.017215,-26573.27373,9730.116693,5424.746028,10292.77716,-18745.40225,-4794.650351,0.091,-0.115,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.211
16,-19016.19363,5474.88099,-1221.388724,-20396.12328,-6209.672238,-17232.03268,-9952.38244,-12508.32677,-7481.531201,3442.906254,-26461.13503,9745.941728,5500.11611,10336.60893,-18634.82817,-4681.505821,0.0925,-0.1155,1.006,192,1,120,126,48,15.5,56,0,0,0,1779460696,0,2026-05-22 16:38:16.219
18,-19112.17202,5365.983291,-1221.969869,-20487.27369,-6249.011308,-17332.01204,-9996.683597,-12585.35088,-7525.765303,3381.10368,-26528.27967,9754.547149,5448.394173,10326.59535,-18707.13606,-4753.299624,0.0925,-0.1155,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.227
20,-19034.3656,5442.001574,-1238.912492,-20376.47609,-6208.085264,-17223.00258,-9943.888777,-12502.58237,-7522.881928,3390.558468,-26507.71606,9740.152626,5459.055955,10299.03564,-18691.15456,-4739.687412,0.0925,-0.1155,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.235
22,-19057.11967,5405.255306,-1234.240977,-20458.26113,-6229.073552,-17290.19192,-9981.193838,-12548.62697,-7471.718785,3430.970422,-26476.33421,9764.873655,5493.343531,10328.71876,-18651.212,-4695.252144,0.0925,-0.1155,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.243
24,-19071.82712,5403.154242,-1243.651061,-20438.90452,-6240.137665,-17279.08311,-9971.448478,-12540.71445,-7542.819684,3372.095927,-26572.78199,9733.849434,5418.331077,10310.97148,-18747.70448,-4783.519183,0.0925,-0.1155,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.251
26,-19037.13722,5441.755705,-1233.592776,-20398.35845,-6214.075531,-17239.8558,-9954.751725,-12515.90401,-7505.380512,3427.304736,-26449.64623,9754.837722,5506.195784,10331.60214,-18637.7786,-4681.215248,0.09325,-0.11775,1.006,192,1,120,126,32,15.5,56,0,0,0,1779460696,0,2026-05-22 16:38:16.258
28,-19098.4704,5369.648977,-1240.074782,-20493.82275,-6266.423317,-17336.68355,-10009.04411,-12573.3927,-7527.866367,3377.505049,-26531.40891,9747.551053,5438.939385,10288.64208,-18716.14381,-4750.103325,0.09325,-0.11775,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.267
30,-19040.55703,5437.039487,-1247.942596,-20383.58395,-6225.653735,-17236.14541,-9953.321213,-12510.47254,-7530.72739,3392.279552,-26521.99883,9741.35962,5433.776132,10299.41562,-18704.72207,-4739.933281,0.09325,-0.11775,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.275
32,-19058.7737,5402.841318,-1231.692878,-20454.59544,-6237.991898,-17311.26962,-9992.280304,-12572.72215,-7490.226029,3428.131751,-26471.34977,9766.818257,5484.291075,10316.31354,-18655.7047,-4701.331818,0.09325,-0.11775,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.283
34,-19065.52393,5434.446685,-1243.136971,-20442.74902,-6247.558444,-17289.81194,-9979.472754,-12541.09443,-7536.449437,3372.185334,-26566.81407,9735.279946,5415.246536,10293.51476,-18750.34198,-4788.570677,0.09325,-0.11775,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.290
36,-19021.5357,5451.948101,-1228.89891,-20393.01639,-6202.318514,-17240.41459,-9944.31346,-12506.51628,-7477.55259,3450.327033,-26446.38287,9759.285719,5488.20263,10324.15901,-18635.69988,-4681.639931,0.095625,-0.118875,1.006,192,1.5,8,126,32,15.5,56,0,0,0,1779460696,0,2026-05-22 16:38:16.299
38,-19087.5404,5375.952169,-1229.904739,-20491.31936,-6254.241616,-17342.78558,-10002.96444,-12584.65798,-7519.618573,3393.933582,-26522.62467,9754.077763,5452.484542,10305.07062,-18704.31974,-4749.321014,0.095625,-0.118875,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.306
40,-19018.20529,5449.020022,-1239.78421,-20383.42749,-6217.964735,-17231.96563,-9947.353297,-12503.16352,-7525.810006,3403.991867,-26515.06979,9735.771684,5452.238673,10324.18136,-18698.10596,-4743.286043,0.095625,-0.118875,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.314
42,-19053.09636,5406.149376,-1222.059276,-20449.65571,-6229.408828,-17296.07043,-9983.473716,-12550.10218,-7480.994759,3437.206559,-26462.63259,9766.460629,5498.70795,10322.23676,-18646.98752,-4692.346417,0.095625,-0.118875,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.323
44,-19060.65125,5419.694533,-1245.148628,-20437.54106,-6252.051145,-17290.59426,-9980.366824,-12541.78733,-7535.063629,3373.124107,-26555.16881,9739.571481,5426.087132,10290.22906,-18743.30118,-4783.966218,0.095625,-0.118875,1.006,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.331
46,-19025.08963,5445.510798,-1237.48198,-20393.01639,-6215.997781,-17245.22021,-9946.570986,-12518.60857,-7474.423346,3439.374678,-26454.67537,9757.274062,5485.810993,10320.67213,-18640.30434,-4687.876068,0.097812,-0.119438,1.008,192,1.5,16,126,32,15.5,72,0,0,0,1779460696,0,2026-05-22 16:38:16.338
48,-19089.23913,5379.997835,-1230.061201,-20491.00643,-6257.75084,-17338.71756,-10000.77397,-12584.21094,-7513.136567,3402.740169,-26522.3341,9747.551053,5443.655603,10302.58957,-18700.45289,-4746.214121,0.097812,-0.119438,1.008,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.347
50,-19028.84472,5449.534112,-1240.588873,-20390.66945,-6225.653735,-17232.79264,-9954.148227,-12495.67568,-7515.885832,3401.08614,-26515.36036,9725.176957,5442.783885,10272.72764,-18698.06125,-4748.158723,0.097812,-0.119438,1.008,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.355
52,-19065.97097,5395.979332,-1227.446047,-20463.24557,-6239.780037,-17296.2716,-9979.360995,-12538.72514,-7482.782898,3431.685678,-26463.34785,9745.293527,5482.145307,10308.26692,-18647.34514,-4699.364865,0.097812,-0.119438,1.008,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.363
54,-19084.3441,5397.923934,-1239.672451,-20450.37096,-6250.642985,-17302.15011,-9980.83621,-12549.92337,-7550.620443,3357.924921,-26566.36704,9720.304277,5416.431179,10276.50509,-18747.48096,-4799.098349,0.097812,-0.119438,1.008,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.370
56,-19017.24416,5442.247443,-1231.111733,-20398.26905,-6211.281563,-17250.27171,-9953.097695,-12521.20138,-7494.428157,3430.769256,-26450.09326,9751.887292,5485.431014,10304.8918,-18637.19745,-4697.800243,0.092,-0.12,1.01,192,1,112,126,32,15.5,72,0,0,0,1779460696,0,2026-05-22 16:38:16.379
58,-19094.0224,5383.64117,-1236.140875,-20500.03654,-6264.679881,-17341.53388,-10013.84974,-12581.19346,-7512.600125,3395.095872,-26525.91038,9744.645327,5437.285356,10291.03372,-18707.40428,-4765.146049,0.092,-0.12,1.01,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.387
60,-19010.6504,5449.221188,-1241.684108,-20394.15632,-6230.146436,-17239.9005,-9955.757553,-12510.09256,-7517.897489,3398.40393,-26520.90359,9724.931088,5433.709077,10287.01041,-18703.828,-4756.942958,0.092,-0.12,1.01,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.394
62,-19066.26154,5396.783995,-1232.721058,-20464.56432,-6241.031735,-17302.7089,-9987.36292,-12559.42286,-7487.186192,3417.537024,-26467.03589,9748.176902,5470.90238,10305.65176,-18654.85533,-4710.160757,0.092,-0.12,1.01,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.403
64,-19076.96802,5413.838376,-1246.95912,-20457.92585,-6262.578817,-17303.49121,-9991.095661,-12557.23239,-7541.947966,3361.814125,-26565.94236,9724.57346,5401.902545,10277.68973,-18753.78415,-4801.55704,0.092,-0.12,1.01,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.411
66,-19021.55805,5440.235786,-1236.923186,-20407.52267,-6229.520587,-17253.66917,-9965.100582,-12520.77669,-7480.480669,3432.088009,-26447.50046,9753.004879,5484.559296,10319.19692,-18647.61336,-4699.923658,0.09,-0.118,1.01,192,1,104,126,40,15.5,72,0,0,0,1779460696,0,2026-05-22 16:38:16.419
68,-19103.72306,5369.000777,-1242.935806,-20505.87034,-6286.808108,-17350.1393,-10024.1986,-12587.85428,-7537.52232,3372.52061,-26537.6227,9741.136103,5425.0366,10293.29125,-18716.16616,-4761.100383,0.09,-0.118,1.01,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.427
70,-19020.46281,5453.333909,-1251.675338,-20399.16312,-6245.770305,-17252.41748,-9967.939254,-12526.09641,-7542.886739,3374.152288,-26527.11738,9724.640515,5418.644001,10287.36803,-18717.19435,-4763.179095,0.09,-0.118,1.01,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.435
72,-19043.48511,5416.677048,-1241.505294,-20462.23974,-6255.940349,-17306.30753,-9995.409548,-12557.52296,-7494.070529,3423.12496,-26468.60051,9756.08942,5469.404813,10300.13088,-18658.81159,-4712.708856,0.09,-0.118,1.01,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.444
74,-19067.87086,5416.811158,-1261.755975,-20456.6071,-6263.316424,-17304.05001,-9995.230734,-12550.52686,-7558.53296,3358.081383,-26575.30774,9723.254707,5390.57021,10274.67224,-18756.71223,-4800.618267,0.09,-0.118,1.01,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.451
76,-18996.47939,5453.535074,-1245.841532,-20402.89586,-6232.359258,-17253.46801,-9967.671033,-12525.67172,-7493.936419,3425.136617,-26460.66564,9748.601585,5455.367917,10307.90929,-18652.88838,-4699.29781,0.088,-0.122,1.008,192,1,96,126,24,15.5,64,0,0,0,1779460696,0,2026-05-22 16:38:16.459
78,-19090.91551,5384.222315,-1247.339099,-20516.48742,-6281.421337,-17363.6174,-10024.77974,-12604.37222,-7518.29982,3389.17266,-26535.25341,9730.697838,5417.973449,10276.97447,-18719.1613,-4770.957502,0.088,-0.122,1.008,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.467
80,-19035.57259,5438.648813,-1259.431393,-20404.88516,-6241.590529,-17257.71484,-9967.38046,-12523.66007,-7540.450399,3371.000692,-26536.30394,9710.469509,5414.173652,10269.0396,-18722.13408,-4773.796174,0.088,-0.122,1.008,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.474
82,-19056.94086,5392.000722,-1253.75405,-20467.78297,-6256.141514,-17317.55046,-10001.69039,-12559.60167,-7515.237631,3405.042399,-26480.06695,9739.727943,5461.134668,10288.37386,-18660.13034,-4714.094664,0.088,-0.122,1.008,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.483
84,-19072.98941,5400.896716,-1265.175791,-20470.0852,-6276.503954,-17322.60195,-10004.77493,-12563.64734,-7558.242388,3342.256348,-26588.00353,9707.563783,5382.612989,10252.61107,-18762.92601,-4810.989477,0.088,-0.122,1.008,192,0,0,0,0,0,0,0,0,0,1779460696,0,2026-05-22 16:38:16.491
86,-19013.08674,5444.706135,-1252.055317,-20410.58486,-6243.982165,-17259.34652,-9984.188972,-12515.18876,-7504.486442,3409.15512,-26469.18165,9733.245937,5459.681804,10299.68385,-18660.91265,-4711.837138,0.094,-0.122,1.006,192,1,120,126,24,15.5,56,0,0,0,1779460696,0,2026-05-22 16:38:16.499
88,-19093.03893,5370.878323,-1246.757954,-20512.68763,-6288.909172,-17362.9245,-10041.94588,-12595.92326,-7521.183195,3382.824765,-26523.87637,9735.861091,5428.255251,10272.70529,-18719.74244,-4769.348177,0.094,-0.122,1.006,192,0,0,0,0,0,0,0,0,0,1779460697,0,2026-05-22 16:38:16.506
90,-19005.48715,5452.775115,-1256.548018,-20407.65678,-6251.246482,-17267.54961,-9982.512591,-12530.11972,-7536.248271,3377.482698,-26530.22427,9717.91264,5425.371876,10281.06484,-18726.2021,-4781.328712,0.094,-0.122,1.006,192,0,0,0,0,0,0,0,0,0,1779460697,0,2026-05-22 16:38:16.515
92,-19038.29951,5416.6994,-1240.790038,-20462.23974,-6257.415564,-17316.58933,-10010.47462,-12563.62499,-7487.521468,3433.317355,-26473.31673,9747.662812,5470.768269,10295.28055,-18662.1867,-4720.755484,0.094,-0.122,1.006,192,0,0,0,0,0,0,0,0,0,1779460697,0,2026-05-22 16:38:16.523
94,-19085.26052,5400.606144,-1255.743355,-20473.46031,-6280.773137,-17330.11214,-10017.13544,-12574.93497,-7557.728297,3366.463288,-26568.51281,9721.466568,5386.658655,10273.12997,-18761.36139,-4813.582279,0.094,-0.122,1.006,192,0,0,0,0,0,0,0,0,0,1779460697,0,2026-05-22 16:38:16.530
96,-19008.7058,5446.784848,-1250.066012,-20414.20584,-6237.857787,-17273.36106,-9982.490239,-12544.626,-7510.722579,3423.214367,-26461.13503,9735.816388,5456.507856,10281.48953,-18658.00693,-4722.163644,0.094,-0.118,1.006,192,1,120,126,40,15.5,56,0,0,0,1779460697,0,2026-05-22 16:38:16.539
98,-19081.59484,5377.226219,-1245.081573,-20515.97333,-6284.639988,-17366.45608,-10034.5251,-12608.28377,-7518.81391,3378.443823,-26530.11251,9726.49571,5433.507911,10268.90549,-18715.24974,-4777.238342,0.094,-0.118,1.006,192,0,0,0,0,0,0,0,0,0,1779460697,0,2026-05-22 16:38:16.547
100,-19022.2286,5430.780999,-1259.252579,-20410.16017,-6254.822761,-17273.07049,-9988.52521,-12537.5405,-7548.385268,3368.318482,-26535.32047,9712.503518,5422.957888,10260.03185,-18725.03981,-4788.190697,0.094,-0.118,1.006,192,0,0,0,0,0,0,0,0,0,1779460697,0,2026-05-22 16:38:16.555
102,-19038.72419,5400.963771,-1239.717154,-20468.1406,-6259.360166,-17316.99167,-10013.82739,-12563.8038,-7504.70996,3410.853852,-26471.37212,9741.605489,5475.283322,10291.10078,-18662.52198,-4728.533891,0.094,-0.118,1.006,192,0,0,0,0,0,0,0,0,0,1779460697,0,2026-05-22 16:38:16.562
104,-19069.41313,5393.967675,-1255.497486,-20469.54876,-6273.352358,-17328.39106,-10014.02855,-12572.7892,-7543.803161,3352.672261,-26573.81017,9719.052579,5400.002646,10274.1358,-18758.9474,-4818.700828,0.092,-0.117,1.005,192,1,104,126,48,15.5,48,0,0,0,1779460697,0,2026-05-22 16:38:16.571
106,-19005.57655,5433.642022,-1248.300224,-20408.10381,-6243.333965,-17261.40288,-9984.881876,-12527.79514,-7495.635151,3415.793588,-26468.48875,9739.571481,5468.153115,10289.33499,-18652.53075,-4717.045095,0.092,-0.117,1.005,192,0,0,0,0,0,0,0,0,0,1779460697,0,2026-05-22 16:38:16.579
